nombre_original;nombre_amigable;Categoria;Cantidad;Unidad;Material;SCH / Espesor;Rating;Mantenimiento;Observaciones;Ficha técnica;Manual;Imagen
Solid1_112;"REDUCCIÓN CONCÉNTRICA 4"" X 2""";Accesorios soldados;;;Acero, carbono;;;; SCH STD ASTM A234;;;
Solid1_141;"TUBO 4""";Tubería;;;Acero, carbono;;;;SCH. STD. API 5L Gr. B;;;
Solid1_111;"REDUCCIÓN CONCÉNTRICA 4"" X 2""";Accesorios soldados;;;Acero, carbono;;;; SCH STD ASTM A234;;;
Solid1_110;"REDUCCIÓN CONCÉNTRICA 4"" X 2""";Accesorios soldados;;;Acero, carbono;;;; SCH STD ASTM A234;;;
Solid1_153;"TUBO 4""";Tubería;;;Acero, carbono;;;;SCH. STD. API 5L Gr. B;;;
Solid1_115;"REDUCCIÓN CONCÉNTRICA 4"" X 2""";Accesorios soldados;;;Acero, carbono;;;; SCH STD ASTM A234;;;
Solid1_116;"REDUCCIÓN CONCÉNTRICA 4"" X 2""";Accesorios soldados;;;Acero, carbono;;;; SCH STD ASTM A235;;;
Solid1_142;"TUBO 4""";Tubería;;;Acero, carbono;;;;SCH. STD. API 5L Gr. B;;;
Solid2_15;"NIPLE 3/4""";Accesorios roscados;;;Génerico;;;;"MNPT API 5L Gr.B, NIPLE 3/4"" x 2"" Long x 2"" Long - Sch.STD";;;Activos\Imagenes\Esparrágo\Niple01.png
Solid1_107;"REDUCCIÓN BUSHING 3/4"" X 1/2""";Accesorios roscados;;;Acero, forjado;;;; Wrought Steel Threaded Pipe Fittings-Hex Head Bushing Threaded-NPT;;;
351B297-1-solid1_3;MANÓMETRO 0-1200 psig;MAN/ACC;;;316;;;;"4.5""  DISPLAY, TOMA 1/2 NPT POR DEBAJO";;;Activos\Imagenes\Manómetros\PI01.png
484D215-1-solid1_3;MANÓMETRO 0-1200 psig;MAN/ACC;;;316;;;;"4.5""  DISPLAY, TOMA 1/2 NPT POR DEBAJO";;;Activos\Imagenes\Manómetros\PI01.png
302C209-1-solid1_3;MANÓMETRO 0-1200 psig;MAN/ACC;;;316;;;;"4.5""  DISPLAY, TOMA 1/2 NPT POR DEBAJO";;;Activos\Imagenes\Manómetros\PI01.png
�����3_5;"VÁLVULA DE BOLA 3/4""";Equipos;;;Génerico;;;;#3000, FNPT- FNPT, ASTM A105;;;
Sólido5_3;BARRIDO DE TUBERÍA;Tubería;;;Cobre;;;; ASTM B 88 Tubo 1/2 - Type L;;;
Sólido6 ;BARRIDO DE TUBERÍA;Tubería;;;Cobre;;;; ASTM B 88 Tubo 1/2 - Type L;;;
Sólido2_3;BARRIDO DE TUBERÍA;Tubería;;;Cobre;;;; ASTM B 88 Tubo 1/2 - Type L;;;
Sólido5_2;BARRIDO DE TUBERÍA;Tubería;;;Cobre;;;; ASTM B 88 Tubo 1/2 - Type L;;;
Sólido6_1;BARRIDO DE TUBERÍA;Tubería;;;Cobre;;;; ASTM B 88 Tubo 1/2 - Type L;;;
Sólido5_5;BARRIDO DE TUBERÍA;Tubería;;;Cobre;;;; ASTM B 88 Tubo 1/2 - Type L;;;
Sólido2_1;BARRIDO DE TUBERÍA;Tubería;;;Cobre;;;; ASTM B 88 Tubo 1/2 - Type L;;;
Sólido5_4;BARRIDO DE TUBERÍA;Tubería;;;Cobre;;;; ASTM B 88 Tubo 1/2 - Type L;;;
Solid1_10 ;"CODO 1/2"" 90°";Accesorios roscados;;;Acero inoxidable, austenítico;;;;;;;Activos\Imagenes\Codos\CON-02.png
Solid1_11;"CODO 1/2"" 90°";Accesorios roscados;;;Acero inoxidable, austenítico;;;;;;;Activos\Imagenes\Codos\CON-02.png
Solid1_6;"CODO 1/2"" 90°";Accesorios roscados;;;Acero inoxidable, austenítico;;;;;;;Activos\Imagenes\Codos\CON-02.png
Solid1_7;"CODO 1/2"" 90°";Accesorios roscados;;;Acero inoxidable, austenítico;;;;;;;Activos\Imagenes\Codos\CON-02.png
Solid1_14;"CONECTOR RECTO 1/2""";Accesorios roscados;;;Acero inoxidable, austenítico;;;;"CONECTOR RECTO 1/2"" OD x 1/4"" NPT";;;Activos\Imagenes\Conector\CON-01.png
Solid1_15;"CONECTOR RECTO 1/2""";Accesorios roscados;;;Acero inoxidable, austenítico;;;;"CONECTOR RECTO 1/2"" OD x 1/4"" NPT";;;Activos\Imagenes\Conector\CON-01.png
Solid1_16;"CONECTOR RECTO 1/2""";Accesorios roscados;;;Acero inoxidable, austenítico;;;;"CONECTOR RECTO 1/2"" OD x 1/4"" NPT";;;Activos\Imagenes\Conector\CON-01.png
Solid1_17;"CONECTOR RECTO 1/2""";Accesorios roscados;;;Acero inoxidable, austenítico;;;;"CONECTOR RECTO 1/2"" OD x 1/4"" NPT";;;Activos\Imagenes\Conector\CON-01.png
Solid1_18;"CONECTOR RECTO 1/2""";Accesorios roscados;;;Acero inoxidable, austenítico;;;;"CONECTOR RECTO 1/2"" OD x 1/4"" NPT";;;Activos\Imagenes\Conector\CON-01.png
Solid1_14;"CONECTOR RECTO 1/2""";Accesorios roscados;;;Acero inoxidable, austenítico;;;;"CONECTOR RECTO 1/2"" OD x 1/4"" NPT";;;Activos\Imagenes\Conector\CON-01.png
Solid1_26;"CONECTOR RECTO 1/2""";Accesorios roscados;;;Acero inoxidable, austenítico;;;;"CONECTOR RECTO 1/2"" OD x 1/4"" NPT";;;Activos\Imagenes\Conector\CON-01.png
Solid1_23;"CONECTOR RECTO 1/2""";Accesorios roscados;;;Acero inoxidable, austenítico;;;;"CONECTOR RECTO 1/2"" OD x 1/4"" NPT";;;Activos\Imagenes\Conector\CON-01.png
Solid1_12;"CONECTOR RECTO 1/2""";Accesorios roscados;;;Acero inoxidable, austenítico;;;;"CONECTOR RECTO 1/2"" OD x 1/4"" NPT";;;Activos\Imagenes\Conector\CON-01.png
Solid1_130;"TEE 1/2""";Accesorios roscados;;;Acero inoxidable, austenítico;;;;;;;
Solid1_131;"TEE 1/2""";Accesorios roscados;;;Acero inoxidable, austenítico;;;;;;;
Solid1_13;"CONECTOR RECTO 1/2""";Accesorios roscados;;;Acero inoxidable, austenítico;;;;"CONECTOR RECTO 1/2"" OD x 1/4"" NPT";;;Activos\Imagenes\Conector\CON-01.png
Solid1_442;"CODO 1/4""";Accesorios roscados;;;Acero;;;;Codo forjado y roscado de 90º - Clase 3000,  ASME B16.11 Codo roscado de 90 grad - Clase 3000 1/4;;;Activos\Imagenes\Codos\CON-02.png
Solid1_444;"REGULADOR 1/2""";Equipos;;;Génerico;;;; FISHER ZSC 100;;;
Solid2_5;"NIPLE 3/4""";Accesorios roscados;;;Génerico;;;;"MNPT API 5L Gr.B, NIPLE 3/4"" x 2"" Long x 2"" Long - Sch.STD";;;Activos\Imagenes\Esparrágo\Niple01.png
�����3_7;"VÁLVULA DE BOLA 3/4""";Equipos;;;Génerico;;;;#3000, FNPT- FNPT, ASTM A105;;;
Solid1_105;"REDUCCIÓN BUSHING 3/4"" X 1/2""";Accesorios roscados;;;Acero, forjado;;;; Wrought Steel Threaded Pipe Fittings-Hex Head Bushing Threaded-NPT;;;
302C209-1-solid1_2;MANÓMETRO 0-1200 psig;MAN/ACC;;;316;;;;"4.5""  DISPLAY, TOMA 1/2 NPT POR DEBAJO";;;Activos\Imagenes\Manómetros\PI01.png
484D215-1-solid1_2;MANÓMETRO 0-1200 psig;MAN/ACC;;;316;;;;"4.5""  DISPLAY, TOMA 1/2 NPT POR DEBAJO";;;Activos\Imagenes\Manómetros\PI01.png
Solid1_432;"REGULADOR 1/2""";Equipos;;;Génerico;;;; FISHER ZSC 100;;;
Solid1_440;"REGULADOR 1/2""";Equipos;;;Génerico;;;; FISHER ZSC 101;;;
Solid1_430;"CODO 1/4""";Accesorios roscados;;;Acero;;;;Codo forjado y roscado de 90º - Clase 3000,  ASME B16.11 Codo roscado de 90 grad - Clase 3000 1/4;;;Activos\Imagenes\Codos\CON-02.png
Solid1_438;"CODO 1/4""";Accesorios roscados;;;Acero;;;;Codo forjado y roscado de 90º - Clase 3000,  ASME B16.11 Codo roscado de 90 grad - Clase 3000 1/5;;;Activos\Imagenes\Codos\CON-02.png
Solid1_27;"CONECTOR RECTO 1/2""";Accesorios roscados;;;Acero inoxidable, austenítico;;;;"CONECTOR RECTO 1/2"" OD x 1/4"" NPT";;;Activos\Imagenes\Conector\CON-01.png
Solid1_114;"REDUCCIÓN CONCÉNTRICA 4"" X 2""";Accesorios soldados;;;Acero, carbono;;;; SCH STD ASTM A235;;;
Solid1_155;"TUBO 4""";Tubería;;;Acero, carbono;;;;SCH. STD. API 5L Gr. B;;;
Solid2_14;"NIPLE ROSCAD0 1/4""";Accesorrios roscados;;;Génerico;;;;"NIPLE 3/4"" x 2"" Long x 2"" Long - Sch.STD";;;Activos\Imagenes\Esparrágo\Niple01.png
Solid2_13;"NIPLE ROSCAD0 1/4""";Accesorrios roscados;;;Génerico;;;;"NIPLE 3/4"" x 2"" Long x 2"" Long - Sch.STD";;;Activos\Imagenes\Esparrágo\Niple01.png
Solid2_12;"NIPLE ROSCAD0 1/4""";Accesorrios roscados;;;Génerico;;;;"NIPLE 3/4"" x 2"" Long x 2"" Long - Sch.STD";;;Activos\Imagenes\Esparrágo\Niple01.png
Solid2_8;"NIPLE ROSCAD0 1/4""";Accesorrios roscados;;;Génerico;;;;"NIPLE 3/4"" x 2"" Long x 2"" Long - Sch.STD";;;Activos\Imagenes\Esparrágo\Niple01.png
Solid2_9;"NIPLE ROSCAD0 1/4""";Accesorrios roscados;;;Génerico;;;;"NIPLE 3/4"" x 2"" Long x 2"" Long - Sch.STD";;;Activos\Imagenes\Esparrágo\Niple01.png
Solid2_10;"NIPLE ROSCAD0 1/4""";Accesorrios roscados;;;Génerico;;;;"NIPLE 3/4"" x 2"" Long x 2"" Long - Sch.STD";;;Activos\Imagenes\Esparrágo\Niple01.png
�����3_11;"VÁLVULA DE BOLA 3/4""";Equipos;;;Génerico;;;;#3000, FNPT- FNPT, ASTM A105;;;
�����3;"VÁLVULA DE BOLA 3/4""";Equipos;;;Génerico;;;;#3000, FNPT- FNPT, ASTM A105;;;
�����3_10;"VÁLVULA DE BOLA 3/4""";Equipos;;;Génerico;;;;#3000, FNPT- FNPT, ASTM A105;;;
�����3_1;"VÁLVULA DE BOLA 3/4""";Equipos;;;Génerico;;;;#3000, FNPT- FNPT, ASTM A105;;;
�����3_2;"VÁLVULA DE BOLA 3/4""";Equipos;;;Génerico;;;;#3000, FNPT- FNPT, ASTM A105;;;
�����3_1;"VÁLVULA DE BOLA 3/4""";Equipos;;;Génerico;;;;#3000, FNPT- FNPT, ASTM A105;;;
�����3_3;"VÁLVULA DE BOLA 3/4""";Equipos;;;Génerico;;;;#3000, FNPT- FNPT, ASTM A105;;;
484D215-1-solid1_1;MANÓMETRO 0-1200 psig;MAN/ACC;;;316;;;;"4.5""  DISPLAY, TOMA 1/2 NPT POR DEBAJO";;;Activos\Imagenes\Manómetros\PI01.png
302C209-1-solid1_1;MANÓMETRO 0-1200 psig;MAN/ACC;;;316;;;;"4.5""  DISPLAY, TOMA 1/2 NPT POR DEBAJO";;;Activos\Imagenes\Manómetros\PI01.png
302C209-1-solid1_4;MANÓMETRO 0-1200 psig;MAN/ACC;;;316;;;;"4.5""  DISPLAY, TOMA 1/2 NPT POR DEBAJO";;;Activos\Imagenes\Manómetros\PI01.png
484D215-1-solid1_4;MANÓMETRO 0-1200 psig;MAN/ACC;;;316;;;;"4.5""  DISPLAY, TOMA 1/2 NPT POR DEBAJO";;;Activos\Imagenes\Manómetros\PI01.png
Solid2_2;"NIPLE ROSCAD0 1/2""";Accesorrios roscados;;;Génerico;;;;"NIPLE 1/2"" x 2"" Long x 2"" Long - Sch.STD";;;Activos\Imagenes\Esparrágo\Niple01.png
Solid1_127;"TEE 1/2""";Accesorrios roscados;;;Acero;;;;#3000 NPT ASTM A105, SEGÚN ASME B16.11;;;
Solid2_1;"NIPLE ROSCAD0 1/2""";Accesorrios roscados;;;Génerico;;;;"NIPLE 1/2"" x 2"" Long x 2"" Long - Sch.STD";;;Activos\Imagenes\Esparrágo\Niple01.png
Solid1_128;"TEE 1/2""";Accesorrios roscados;;;Acero;;;;#3000 NPT ASTM A105, SEGÚN ASME B16.11;;;
